Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2
qNet-dvdtmax,0.8125,0.4375,0.75,0.945454545,0.698412698,0.875,0.8,0.428571429,0.75,0.818181818,0.6,0.75,5.49997525,1.428570357,2.999992,0.244445368,0.857143029,0.333334222,0.727272727,0.5,0.6,0.236530605,0.924170616,0.733333333,-12.65554629,9.261368331,-28.45720717,-11.50523676
qNet-vmax,0.875,0.4375,0.75,0.945454545,0.698412698,0.875,0.8,0.285714286,0.75,0.818181818,0.6,0.75,5.49997525,1.428570357,2.999992,0.220000858,0.857143029,0.333334222,0.8,0.444444444,0.6,0.243924496,0.91943128,0.733333333,-7.812141729,11.0652915,-25.47047032,-1.482009859
qNet-vrest,0.875,0.4375,0.75,0.945454545,0.698412698,0.875,0.8,0.285714286,0.75,0.818181818,0.6,0.75,5.49997525,1.428569286,2.999992,0.220000858,0.857143071,0.333334222,0.8,0.4,0.6,0.246189475,0.914691943,0.733333333,-7.138430889,10.74573579,-24.00730878,-0.401950394
qNet-APD50,0.875,0.4375,0.75,0.945454545,0.698412698,0.875,0.8,0.285714286,0.75,0.818181818,0.6,0.75,5.49997525,1.428570357,2.999992,0.244445368,0.857143029,0.333334222,0.75,0.444444444,0.6,0.244459299,0.91943128,0.733333333,-8.385385479,11.04999227,-23.95586121,2.432867473
qNet-APD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.875,0.8,0.285714286,0.75,0.818181818,0.6,0.75,5.49997525,1.49999825,2.999992,0.220000858,0.857143029,0.333334222,0.8,0.444444444,0.6,0.243295304,0.91943128,0.733333333,-8.529022055,10.98694121,-24.10444985,2.670598792
qNet-max_dv,0.875,0.4375,0.75,0.945454545,0.698412698,0.875,0.8,0.285714286,0.75,0.818181818,0.6,0.75,5.49997525,1.428570357,2.999992,0.220000858,0.857143029,0.333334222,0.8,0.444444444,0.6,0.245340129,0.91943128,0.733333333,-7.804423872,10.9122174,-23.62319449,1.552092901
qNet-camax,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.249588204,0.914691943,0.733333333,-11.88113995,12.71692143,-25.4870499,6.546498244
qNet-carest,0.8125,0.4375,0.75,0.945454545,0.698412698,0.864583333,0.6,0.428571429,0.75,0.818181818,0.571428571,0.75,5.49997525,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.242729823,0.914691943,0.733333333,-7.694163996,10.48791156,-21.11176493,1.908671779
qNet-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.5,0.6,0.248929275,0.914691943,0.733333333,-7.205594915,10.76629757,-23.72400295,-1.789782895
qNet-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.864583333,0.8,0.285714286,0.75,0.818181818,0.6,0.75,5.49997525,1.428569286,2.999992,0.244445368,0.857143071,0.333334222,0.75,0.444444444,0.6,0.246252389,0.914691943,0.733333333,-6.95857189,10.6373132,-23.42961517,0.245733034
vrest-max_dv,0.8125,0.5,0.8125,0.927272727,0.777777778,0.916666667,0.8,0.285714286,0.75,0.818181818,0.666666667,0.75,4.3999813,1.49999825,3.999988,0.244445368,0.80000028,0.30000084,0.727272727,0.444444444,0.666666667,0.252293838,0.924170616,0.733333333,-2.679173134,6.848076221,10.29711647,13.19075709
APD50-carest,0.75,0.5,0.8125,0.909090909,0.714285714,0.916666667,0.8,0.285714286,0.75,0.727272727,0.75,0.75,2.933326244,1.49999825,3.999988,0.275000997,0.857143,0.30000084,0.666666667,0.363636364,0.666666667,0.295034644,0.90521327,0.733333333,-3.784779626,0.3513019,7.107410448,1.020077135
carest-CaTD90,0.75,0.5,0.8125,0.927272727,0.73015873,0.916666667,0.8,0.285714286,0.75,0.727272727,0.75,0.75,2.933326244,1.49999825,3.999988,0.275000997,0.857143,0.30000084,0.666666667,0.363636364,0.666666667,0.283097357,0.914691943,0.733333333,-5.369058023,0.453177124,6.273459878,10.80149185
