Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3
dvdtmax-vrest-CaTD50,0.8125,0.5,0.8125,0.927272727,0.761507937,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.833333333,5.49997525,1.428570571,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.211693763,0.928909953,0.766666667,-6.57081832,11.22415807,-31.1353988,25.86907087,14.97653672
vrest-APD90-carest,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.6,0.833333333,5.49997525,1.428570571,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.210683296,0.938388626,0.766666667,-12.67736004,15.45055192,32.02531346,46.07862803,-8.719908324
vrest-APD90-CaTD90,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.833333333,5.49997525,1.428570571,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.213612491,0.938388626,0.766666667,-12.46189473,14.67596012,27.10911316,28.80004942,12.78073478
qNet-dvdtmax-vrest,0.875,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.259245877,0.91943128,0.733333333,-14.25017411,16.66775658,-33.22979978,-18.11199031,9.427585457
qNet-dvdtmax-APD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.8125,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.545454545,0.6,0.26479178,0.909952607,0.733333333,-13.12058381,15.773622,-49.84294881,-29.15249782,-22.05266119
qNet-dvdtmax-APD90,0.875,0.4375,0.75,0.945454545,0.682539683,0.8125,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.5,0.6,0.266864206,0.909952607,0.733333333,-12.84223399,14.67925299,-44.12181814,-24.90654788,-16.97326215
qNet-dvdtmax-camax,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.239080973,0.924170616,0.733333333,-15.16437404,14.20709828,-31.82093313,-4.550016421,6.384058001
qNet-dvdtmax-carest,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.428571429,0.75,0.818181818,0.5,0.75,5.49997525,1.333332556,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.236721032,0.91943128,0.733333333,-14.52597911,14.7295655,-30.80460662,-7.322116706,4.976380513
qNet-dvdtmax-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545151515,0.6,0.265598232,0.914691943,0.733333333,-16.65922242,15.23267079,-42.23962033,-12.08607663,-6.099097677
qNet-dvdtmax-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.84375,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.5,0.6,0.241913446,0.914691943,0.733333333,-13.99830293,15.17540125,-37.21220878,-13.01499381,-6.848795812
qNet-vmax-vrest,0.8125,0.4375,0.75,0.945454545,0.729761905,0.875,0.6,0.428571429,0.75,0.818181818,0.6,0.75,5.49997525,1.428570357,2.999992,0.4000006,0.80000028,0.333334222,0.727272727,0.5,0.6,0.226365542,0.91943128,0.733333333,-9.295093359,13.3603853,-28.53309729,-10.42984069,7.837271882
