Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4
dvdtmax-vrest-APD90-carest,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.6,0.833333333,5.49997525,1.49999825,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.211124272,0.938388626,0.766666667,-12.767589,15.46154297,-0.334491406,32.29820002,46.2288296,-8.83282526
dvdtmax-vrest-APD90-CaTD90,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,6.599938401,1.428570571,4.499979,0.440000616,0.666667056,0.30000084,0.666666667,0.571428571,0.666666667,0.21751755,0.938388626,0.766666667,-14.34688693,15.34504323,-7.695779836,32.56572847,26.72553517,17.20325019
vmax-vrest-APD90-carest,0.8125,0.5,0.8125,0.927272727,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.833333333,5.49997525,1.428570571,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.215407633,0.938388626,0.766666667,-11.96637168,14.08490387,4.719547517,24.80440466,41.60540497,-6.492346265
vmax-vrest-APD90-CaTD90,0.8125,0.5,0.8125,0.945454545,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.6,0.833333333,5.49997525,1.428570571,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.214620306,0.938388626,0.766666667,-12.31485989,14.1883162,1.596614455,25.09793174,28.97506314,11.64033141
vrest-APD90-camax-carest,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.6,0.833333333,5.49997525,1.49999825,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.211092774,0.938388626,0.766666667,-12.86254601,15.36386074,32.4643457,46.41230363,0.883596454,-9.588860224
vrest-APD90-carest-CaTD50,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.599285714,0.833333333,5.49997525,1.49999825,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.210084815,0.938388626,0.766666667,-12.40176259,15.52025282,31.47237632,44.80919087,-8.203757025,0.430478166
vrest-APD90-carest-CaTD90,0.8125,0.5,0.8125,0.945454545,0.746031746,0.916666667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.833333333,5.49997525,1.428570571,4.499979,0.440000616,0.714286,0.30000084,0.666666667,0.545454545,0.666666667,0.214557319,0.938388626,0.766666667,-12.47625611,14.14530732,25.03837832,22.26173285,3.472848274,17.67665764
vrest-APD90-CaTD50-CaTD90,0.8125,0.5,0.8125,0.945454545,0.761904762,0.90625,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,6.599938401,1.428570571,4.499979,0.440000616,0.642857679,0.30000084,0.666666667,0.6,0.666666667,0.218305622,0.938388626,0.766666667,-17.44089947,12.20067667,31.71628847,32.77464389,-8.67672931,28.38907375
qNet-dvdtmax-vmax-max_dv,0.875,0.4375,0.75,0.945454545,0.682539683,0.822916667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.272042791,0.914691943,0.733333333,-23.4085757,9.665685047,-25.95530807,-53.08580271,28.46534499,5.732809684
qNet-dvdtmax-vmax-camax,0.8125,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.440000616,0.857143143,0.333334222,0.666666667,0.571428571,0.6,0.271411867,0.914691943,0.733333333,-18.81392423,15.00029763,-32.44980265,-22.7275673,11.6925102,5.785990538
qNet-dvdtmax-vmax-carest,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.268047062,0.914691943,0.733333333,-18.29260053,15.57081363,-31.30141836,-25.58472374,12.0613667,4.694865965
qNet-dvdtmax-vrest-APD50,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.4010006,0.80000028,0.333334222,0.725757576,0.545454545,0.6,0.250248711,0.924170616,0.733333333,-14.25727916,16.13616413,-27.96799549,-13.98670334,10.95479293,6.189681057
