Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5
dvdtmax-vrest-APD90-camax-CaTD50,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.6,0.833333333,5.49997525,1.666665111,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.210683296,0.938388626,0.766666667,-11.16361655,17.10372283,-10.21728817,31.18998734,35.30239736,-7.095655755,4.275103474
dvdtmax-vrest-max_dv-CaTD50-CaTD90,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.6,0.833333333,5.49997525,1.49999825,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.213266045,0.938388626,0.766666667,-10.92204155,15.27604443,-14.80567736,32.12537646,14.99057478,2.822862994,15.59076354
vmax-vrest-APD90-carest-CaTD90,0.8125,0.5,0.8125,0.945454545,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.833333333,5.49997525,1.428570571,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.545454545,0.666666667,0.214651799,0.938388626,0.766666667,-12.44252892,14.10880382,0.395820979,24.85942939,23.28157373,2.959829025,16.67698115
vrest-APD90-camax-carest-CaTD50,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.5,0.833333333,5.49997525,1.428570571,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.571428571,0.666666667,0.212132188,0.938388626,0.766666667,-12.39377363,15.06488632,32.52121064,38.21478423,11.55221066,-15.10043895,4.185226979
qNet-dvdtmax-vmax-vrest-max_dv,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.263897502,0.91943128,0.733333333,-18.24569658,16.09361152,-25.76503041,-32.68417393,14.86048394,9.573325348,7.684699514
qNet-dvdtmax-vmax-APD50-max_dv,0.875,0.4375,0.75,0.945454545,0.682539683,0.822916667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.5,0.6,0.271605861,0.914691943,0.733333333,-19.73392922,14.22328197,-35.27624537,-55.97804761,27.16750575,-33.16808927,24.30693031
qNet-dvdtmax-vmax-APD50-carest,0.875,0.4375,0.75,0.945454545,0.682539683,0.822916667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.270093304,0.914691943,0.733333333,-17.65882259,16.56497907,-37.55710605,-28.22497351,9.783167612,-6.462805493,4.047995296
qNet-dvdtmax-vmax-APD90-camax,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.267890669,0.91943128,0.733333333,-19.61492743,14.03125652,-27.9644193,-21.7430121,14.31080318,5.241049903,6.144553745
qNet-dvdtmax-vmax-APD90-carest,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.267669852,0.91943128,0.733333333,-19.03952454,14.69978883,-26.86791062,-24.95915337,14.76422868,5.064481752,4.986601155
qNet-dvdtmax-vmax-APD90-CaTD50,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.26424332,0.91943128,0.733333333,-21.74689852,12.25066247,-29.22144667,-16.98272564,13.48570672,19.2542682,-7.463490651
qNet-dvdtmax-vmax-APD90-CaTD90,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.267230545,0.91943128,0.733333333,-19.43043354,14.28736901,-26.75683034,-26.29345124,17.6368151,15.23429437,-8.487913431
qNet-dvdtmax-vmax-max_dv-camax,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.268582211,0.91943128,0.733333333,-19.01610468,14.78674507,-31.36539862,-23.24176283,12.65267297,0.947324953,5.803637184
qNet-dvdtmax-vmax-max_dv-carest,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.268267099,0.914691943,0.733333333,-18.37306812,15.47136912,-30.7920866,-25.79683035,12.49029767,0.433930499,4.700456861
qNet-dvdtmax-vmax-max_dv-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.268990067,0.914691943,0.733333333,-19.9823391,13.7121371,-33.36989727,-24.15314943,13.03549727,8.096729146,-5.990987397
qNet-dvdtmax-vmax-max_dv-CaTD90,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.26965093,0.914691943,0.733333333,-18.77267998,14.94639044,-30.57014074,-32.40889835,17.4471941,6.608965645,-6.790263278
qNet-dvdtmax-vmax-camax-carest,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.269240755,0.914691943,0.733333333,-16.60025396,16.76115813,-27.546338,-35.65861206,13.85684055,-17.80499647,18.38223714
qNet-dvdtmax-vmax-camax-CaTD90,0.8125,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.440000616,0.857143143,0.333334222,0.666666667,0.545454545,0.6,0.273612705,0.914691943,0.733333333,-18.55322735,15.34508245,-33.77900572,-24.21498697,11.55208782,4.483880576,-1.506961104
qNet-dvdtmax-vmax-carest-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.268017958,0.914691943,0.733333333,-18.4147318,15.52751335,-36.21525751,-23.66501487,9.286696434,2.580498722,-2.586718864
qNet-dvdtmax-vmax-carest-CaTD90,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.268329966,0.91943128,0.733333333,-18.47357988,15.32157795,-29.59160179,-24.91866317,12.45861454,5.786711689,1.625777866
qNet-dvdtmax-vrest-APD50-APD90,0.8125,0.4375,0.75,0.945454545,0.714285714,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.727272727,0.571428571,0.6,0.247386406,0.924170616,0.733333333,-13.88587348,15.77812183,-32.88715161,-15.05574871,8.658130489,-27.61854558,29.24799888
qNet-dvdtmax-vrest-APD50-camax,0.8125,0.4375,0.75,0.945454545,0.714285714,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.750000437,0.333334222,0.666666667,0.571428571,0.6,0.248959136,0.924170616,0.733333333,-13.2589126,16.45221387,-22.41194635,-16.54039456,17.0398549,12.56299992,-4.001315436
qNet-dvdtmax-vrest-APD50-carest,0.8125,0.4375,0.75,0.945454545,0.714285714,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.750000438,0.333334222,0.666666667,0.571428571,0.6,0.251695485,0.924170616,0.733333333,-13.63912877,16.26452342,-22.60332041,-15.21996756,18.1749268,13.47994507,-3.636999775
qNet-dvdtmax-vrest-APD50-CaTD50,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.727272727,0.545454545,0.6,0.250594686,0.924170616,0.733333333,-14.41790581,16.10637609,-28.37994983,-13.59485479,10.56256209,6.384331202,-0.338890571
qNet-dvdtmax-vrest-APD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.73015873,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.615384615,0.6,0.250248711,0.924170616,0.733333333,-13.98215871,16.39451677,-21.61091847,-17.46779059,19.52759879,6.192913075,8.155101534
qNet-dvdtmax-vrest-APD90-camax,0.8125,0.4375,0.75,0.945454545,0.714285714,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.750000437,0.333334222,0.666666667,0.571428571,0.6,0.247858234,0.924170616,0.733333333,-13.44398211,16.21770076,-25.43732967,-15.85998886,14.48827923,9.435296106,-2.750732528
qNet-dvdtmax-vrest-APD90-carest,0.8125,0.4375,0.75,0.945454545,0.714285714,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.727272727,0.571428571,0.6,0.250437425,0.924170616,0.733333333,-13.69514105,16.09651666,-25.78820178,-15.07948197,15.18021342,9.806240972,-2.493721462
qNet-dvdtmax-vrest-APD90-CaTD50,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.4000006,0.761905079,0.333334222,0.727272727,0.545454545,0.6,0.24335983,0.924170616,0.733333333,-14.62117143,15.65806576,-28.25838325,-11.18104059,9.735401528,8.25140374,-1.047117396
qNet-dvdtmax-vrest-APD90-CaTD90,0.875,0.4375,0.75,0.945454545,0.714285714,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.615384615,0.6,0.250437425,0.924170616,0.733333333,-13.94222056,16.45363273,-24.12039821,-17.98597872,17.93335952,4.284492778,7.226225259
qNet-dvdtmax-vrest-max_dv-camax,0.875,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.257455158,0.91943128,0.733333333,-14.0237866,17.18266173,-34.52092947,-21.61062957,10.92076794,-1.066869852,-1.565147388
qNet-dvdtmax-vrest-max_dv-carest,0.875,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.85714303,0.333334222,0.75,0.571428571,0.6,0.258052599,0.91943128,0.733333333,-14.16367784,17.14027282,-34.76049586,-21.23255621,11.33999442,-0.898674617,-1.43303258
qNet-dvdtmax-vrest-max_dv-CaTD50,0.875,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.258397695,0.91943128,0.733333333,-14.25259326,17.06174961,-34.50179703,-20.04937027,9.745147053,-1.831628814,0.539133422
qNet-dvdtmax-vrest-camax-carest,0.875,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.80000028,0.333334222,0.75,0.571428571,0.6,0.258021155,0.91943128,0.733333333,-14.28916549,16.90055182,-34.24486119,-19.83834727,11.85494728,2.327107115,-3.394934323
qNet-dvdtmax-vrest-camax-CaTD50,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.258052599,0.91943128,0.733333333,-14.3672379,17.12732192,-35.99403792,-21.50157506,10.36798561,-2.723469908,-1.559921698
qNet-dvdtmax-vrest-camax-CaTD90,0.875,0.4375,0.75,0.945454545,0.73015873,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.615384615,0.6,0.247763869,0.928909953,0.733333333,-16.20227507,14.66569371,-16.70224997,-11.92310901,20.95953262,9.533680159,21.67965625
