Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6
dvdtmax-vrest-APD90-camax-carest-CaTD50,0.8125,0.5,0.8125,0.927272727,0.761904762,0.916666667,0.6,0.428571429,0.75,0.818181818,0.571428571,0.833333333,5.49997525,1.428570571,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.571428571,0.666666667,0.211722727,0.938388626,0.766666667,-11.8306697,15.80504439,-4.27718995,32.3747275,35.08564687,7.130192771,-10.90164539,5.302432088
dvdtmax-vrest-max_dv-camax-carest-CaTD50,0.8125,0.5,0.8125,0.927272727,0.746031746,0.916666667,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,6.599938401,1.428570571,4.499979,0.440000616,0.685714663,0.30000084,0.666666667,0.571428571,0.666666667,0.218400089,0.928909953,0.766666667,-7.923388266,13.06108555,-13.56538897,29.15320634,2.196988498,28.97659744,-19.30360062,18.17195485
qNet-dvdtmax-vmax-vrest-max_dv-camax,0.8125,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.249999562,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.571428571,0.6,0.26572164,0.91943128,0.733333333,-17.12593374,16.63104404,-25.13673747,-37.91766002,15.43939227,13.11673129,8.286254548,-3.626271531
qNet-dvdtmax-vmax-APD50-max_dv-camax,0.8125,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.727272727,0.5,0.6,0.269809641,0.914691943,0.733333333,-19.20882765,14.75529637,-34.06578898,-41.99176717,20.6781369,-25.14668401,18.92952872,2.994346859
qNet-dvdtmax-vmax-APD50-max_dv-carest,0.8125,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.727272727,0.545454545,0.6,0.269808091,0.914691943,0.733333333,-18.79988408,15.06727616,-33.41115165,-41.63729112,19.80394259,-22.98086738,17.15380671,2.586902262
qNet-dvdtmax-vmax-APD50-max_dv-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.5,0.6,0.268803021,0.914691943,0.733333333,-19.6878967,13.99662116,-34.79102213,-39.68443523,19.45941075,-19.26864251,18.20102404,-3.156433233
qNet-dvdtmax-vmax-APD50-max_dv-CaTD90,0.875,0.4375,0.75,0.945454545,0.682539683,0.822916667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.5,0.6,0.269212425,0.914691943,0.733333333,-19.4060802,14.55138564,-34.01145024,-48.94312535,24.0847305,-25.64375525,21.28301761,-2.482199214
qNet-dvdtmax-vmax-APD50-camax-carest,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.268896544,0.914691943,0.733333333,-16.4622068,17.15370712,-32.00578367,-36.9023217,12.44753564,-4.219862723,-15.89883155,16.39393458
qNet-dvdtmax-vmax-APD50-carest-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.269024604,0.914691943,0.733333333,-17.55559527,16.71457507,-36.68982709,-29.39324171,10.50277058,-7.376752503,4.720259238,0.938164352
qNet-dvdtmax-vmax-APD50-carest-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.75,0.571428571,0.6,0.260125479,0.91943128,0.733333333,-17.56259262,16.25740328,-37.24775028,-27.52863525,0.64495534,-59.20585615,31.24049116,49.17920814
