Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7
qNet-dvdtmax-vmax-vrest-APD50-APD90-CaTD50,0.8125,0.4375,0.75,0.945454545,0.698412698,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.332142077,2.999992,0.440000616,0.750000437,0.333334222,0.666666667,0.571428571,0.6,0.256602989,0.924170616,0.733333333,-27.60505568,5.05107683,-63.89315443,-32.68624765,29.41970689,-27.46203308,-184.0324183,185.1352905,-14.28780704
qNet-dvdtmax-vmax-APD50-max_dv-camax-carest,0.8125,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.727272727,0.5,0.6,0.270970287,0.914691943,0.733333333,-17.94672316,15.61655856,-31.50264708,-44.48626383,19.45689628,-19.40144871,14.32306605,-8.743748518,9.483455285
qNet-dvdtmax-vmax-APD50-max_dv-camax-CaTD50,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.545454545,0.6,0.270500367,0.914691943,0.733333333,-19.11168114,15.01042778,-32.58311594,-45.97789876,23.20653459,-30.41438678,20.64411056,5.097814475,2.600402869
qNet-dvdtmax-vmax-APD50-max_dv-camax-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.249999562,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.571428571,0.6,0.267549553,0.91943128,0.733333333,-27.6334094,7.83402134,-43.77545701,-16.38148502,5.186627941,-125.9463761,25.4184568,66.62672867,90.38467195
qNet-dvdtmax-vmax-APD50-max_dv-carest-CaTD50,0.8125,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.727272727,0.5,0.6,0.270938856,0.914691943,0.733333333,-18.60643218,15.35009346,-31.4875776,-45.97389239,22.22084278,-26.82611031,18.25045518,4.030610163,2.288008459
qNet-dvdtmax-vmax-APD50-max_dv-carest-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.75,0.571428571,0.6,0.261603216,0.91943128,0.733333333,-17.75085203,15.76804181,-35.39181442,-32.86447815,5.660071655,-62.06294809,7.874911732,27.9038574,44.25203596
qNet-dvdtmax-vmax-APD50-max_dv-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.666666667,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.284820582,2.999992,0.4000006,0.857143071,0.333334222,0.75,0.571428571,0.6,0.25899826,0.91943128,0.733333333,-32.30183652,0.39388826,-49.98174519,38.95084144,-19.52109386,28.61098078,-1.896915683,-51.60286987,55.80146498
qNet-dvdtmax-vmax-APD50-camax-carest-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.268173574,0.914691943,0.733333333,-16.54899522,16.71271652,-33.89203378,-32.96823886,9.696212571,1.194485939,-20.5483874,17.10410156,-4.230630658
qNet-dvdtmax-vmax-APD50-camax-carest-CaTD90,0.8125,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.249999562,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.571428571,0.6,0.263681339,0.91943128,0.733333333,-23.12903734,12.03226414,-44.71341496,-8.962962877,-8.053163692,-97.77457927,39.38875575,21.64319787,87.8688595
qNet-dvdtmax-vmax-APD50-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.714285714,0.84375,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.750000437,0.333334222,0.75,0.571428571,0.6,0.253396157,0.924170616,0.733333333,-28.18998099,4.455885997,-43.03055628,17.35380534,-15.54638083,-26.00026028,24.33286971,-35.65054939,80.83575617
qNet-dvdtmax-vmax-APD90-camax-carest-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.80000028,0.333334222,0.75,0.571428571,0.6,0.253741302,0.924170616,0.733333333,-28.63047694,3.571005705,-33.74110379,-7.600567265,14.06399661,61.83350315,-14.43065936,-7.350583246,-30.10805119
qNet-dvdtmax-vmax-APD90-camax-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.571428571,0.6,0.249309105,0.924170616,0.733333333,-41.45360516,-9.028481963,-41.06198794,30.8319754,-7.764501358,34.22885109,4.848616792,-58.79690926,76.36268297
qNet-dvdtmax-vmax-APD90-carest-CaTD50-CaTD90,0.8734375,0.4375,0.75,0.927272727,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.749431818,0.571428571,0.6,0.251669587,0.924170616,0.733333333,-42.29781376,-10.05559464,-38.67869948,18.20102633,0.061470182,45.75317103,-2.66559821,-57.10815906,64.94205983
qNet-dvdtmax-vmax-max_dv-camax-carest-CaTD50,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.75,0.571428571,0.6,0.268267099,0.914691943,0.733333333,-17.3458063,15.60569638,-32.56682054,-32.54183619,11.61078775,4.990940504,-18.82360376,14.45390064,-5.801516243
qNet-dvdtmax-vmax-camax-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.615384615,0.6,0.248430791,0.924170616,0.733333333,-41.85821203,-8.483750021,-50.71634676,68.07618609,-30.63267692,23.54014469,4.44733336,-67.65220661,116.5383947
qNet-dvdtmax-vrest-APD50-APD90-camax-carest,0.875,0.4375,0.75,0.945454545,0.714285714,0.864583333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.75,0.571428571,0.6,0.250689041,0.924170616,0.733333333,-14.40072483,15.47215273,-33.11440648,-13.05981903,9.729208385,-25.74222866,28.40395948,5.187899177,-4.462429289
qNet-dvdtmax-vrest-APD50-APD90-camax-CaTD50,0.8125,0.4375,0.75,0.945454545,0.714285714,0.875,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.440000616,0.750000437,0.333334222,0.666666667,0.571428571,0.6,0.244586737,0.928909953,0.733333333,-18.298287,11.69408093,-37.72704589,-4.888974295,3.15929629,-22.80973286,46.5139855,-9.680912085,-14.44685081
