Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8
qNet-dvdtmax-vmax-vrest-APD50-APD90-carest-CaTD50,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.440000616,0.71428619,0.333334222,0.666666667,0.571428571,0.6,0.257325442,0.924170616,0.733333333,-26.05612419,6.746238757,-62.96541155,-36.82205707,30.04308659,-27.23674229,-189.9941846,183.142836,3.028984378,-10.02186546
qNet-dvdtmax-vmax-vrest-APD50-APD90-CaTD50-CaTD90,0.8125,0.4375,0.75,0.927272727,0.682539683,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.285713429,2.999992,0.440000616,0.750000437,0.333334222,0.666666667,0.571428571,0.6,0.254779878,0.924170616,0.733333333,-32.68680483,-0.073362044,-64.09211254,-29.01343233,28.50622845,-27.57181889,-178.6472622,185.4364055,-23.72701666,13.3473938
qNet-dvdtmax-vmax-APD50-max_dv-camax-carest-CaTD50,0.8125,0.4375,0.75,0.945454545,0.682539683,0.833333333,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.142856857,2.999992,0.4000006,0.857143143,0.333334222,0.727272727,0.545454545,0.6,0.271001718,0.91943128,0.733333333,-17.9705534,15.61192407,-31.32008608,-44.81827898,19.79818518,-20.10192215,14.62918274,-8.13870293,9.216919442,0.319483464
qNet-dvdtmax-vmax-APD50-max_dv-camax-carest-CaTD90,0.875,0.4375,0.75,0.945454545,0.698412698,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.333332556,2.999992,0.4000006,0.750000437,0.333334222,0.75,0.571428571,0.6,0.2601915,0.91943128,0.733333333,-25.42332696,9.450330861,-42.08811662,-17.44137559,2.006935857,-119.5526169,19.24407651,52.44369216,11.34552202,90.11159701
qNet-dvdtmax-vmax-APD50-max_dv-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.714285714,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.615384615,0.6,0.249118793,0.924170616,0.733333333,-32.44476595,0.510082224,-48.11254002,41.00292461,-27.70763726,-10.59427077,-8.484095538,25.55333747,-50.13881678,99.60120331
qNet-dvdtmax-vmax-APD50-camax-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.714285714,0.822916667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.615384615,0.6,0.247266171,0.924170616,0.733333333,-41.19951249,-6.325088252,-55.26583603,61.16915341,-33.49477773,-53.40535269,43.84141856,11.8972269,-56.26864598,145.1426072
qNet-dvdtmax-vmax-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.909090909,0.666666667,0.833333333,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.249999563,2.999992,0.440000616,0.750000438,0.333334222,0.666666667,0.571428571,0.6,0.256170628,0.91943128,0.733333333,-42.21188065,-9.602612964,-41.26837407,29.65380347,-5.474311011,40.69504367,6.299642501,-4.265430801,-58.93177589,71.38384235
qNet-dvdtmax-vmax-max_dv-camax-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.682539683,0.822916667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.615384615,0.6,0.244371335,0.924170616,0.733333333,-44.28259086,-10.15455577,-57.38517015,85.75502989,-44.03488385,-11.00454013,23.58758634,12.38400164,-76.75960479,140.8893223
qNet-dvdtmax-vrest-APD50-APD90-camax-carest-CaTD50,0.8125,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.333332556,2.999992,0.4000006,0.750000438,0.333334222,0.727272727,0.571428571,0.6,0.24707185,0.928909953,0.733333333,-20.07108373,10.71609897,-33.76784674,-0.549042187,8.918446548,-0.155020612,35.7377939,-3.266514093,-8.756539108,-16.66071706
qNet-dvdtmax-vrest-APD50-APD90-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.945454545,0.714285714,0.854166667,0.6,0.571428571,0.75,0.909090909,0.5,0.75,8.799914201,1.428570357,2.999992,0.4000006,0.71428619,0.333334222,0.75,0.615384615,0.6,0.248047761,0.928909953,0.733333333,-29.04102578,2.778056822,-68.55867354,8.236376077,-25.34894242,-154.5368126,132.738181,15.9826641,-32.63278343,47.81812394
