Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2
carest-CaTD90,0.8125,0.5,0.8125,0.981818182,0.793650794,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285714.9261,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.248965299,0.928909953,0.866666667,-3.073976523,1.947401748,17.92186757,16.08155833
dvdtmax-APD90,0.75,0.5625,0.875,0.963636364,0.761904762,0.916666667,1,0.142857143,1,0.636363636,1,0.833333333,2.749995188,142857.9881,5.99997,1.57E-06,0.857143,1.20E-06,0.714285714,0.25,0.8,0.310013245,0.909952607,0.833333333,-2.403219445,0.775949705,3.471001599,7.861214134
dvdtmax-APD50,0.75,0.5,0.8125,0.963636364,0.746031746,0.916666667,1,0.142857143,1,0.636363636,1,0.75,2.749995188,142858.0246,3.999988,1.57E-06,0.857143,1.33E-06,0.714285714,0.25,0.727272727,0.312148045,0.914691943,0.8,-2.614883927,1.11910343,4.066222808,9.412437425
vmax-max_dv,0.8125,0.5,0.8125,0.963636364,0.857142857,0.9375,1,0.285714286,0.75,0.727272727,0.833333333,0.833333333,3.666656889,2.857133571,4.499979,1.38E-06,0.816326741,0.272728066,0.769230769,0.4,0.727272727,0.249932595,0.943127962,0.8,-0.516296871,4.146859738,7.133132413,6.726967283
dvdtmax-max_dv,0.6875,0.5625,0.875,0.927272727,0.714285714,0.916666667,1,0,1,0.545454545,1,0.833333333,2.19999736,0.999999994,5.99997,1.83E-06,1,1.20E-06,0.666666667,0,0.8,0.343433866,0.872037915,0.766666667,-1.620801974,0.591637016,1.184489909,3.454929279
carest-CaTD50,0.8125,0.5,0.8125,0.981818182,0.761904762,0.875,1,0.285714286,0.75,0.727272727,0.857142857,0.75,3.666656889,2.857133571,3.999988,1.37E-06,0.714286,0.30000084,0.769230769,0.444444444,0.666666667,0.251447846,0.909952607,0.766666667,-0.540434201,4.029218196,10.89614072,7.444700175
qNet-vmax,0.8125,0.4375,0.75,0.890909091,0.714285714,0.916666667,0.6,0.428571429,0.75,0.909090909,0.5,0.75,6.599938401,1.285713429,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.5,0.6,0.242836244,0.928909953,0.733333333,-11.13746966,22.34303941,-45.06864271,7.965650041
qNet-vrest,0.8125,0.5,0.75,0.818181818,0.777777778,0.90625,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.5999384,1.428570571,2.999992,0.440000616,0.685714789,0.333334222,0.666666667,0.571428571,0.6,0.258625919,0.909952607,0.733333333,-5.533363614,36.94452653,-55.19140051,21.30448104
qNet-max_dv,0.8125,0.4375,0.75,0.872727273,0.746031746,0.90625,0.6,0.428571429,0.75,0.909090909,0.6,0.666666667,6.599938401,1.428570571,2.999992,0.440000616,0.80000028,0.333334222,0.666666667,0.5,0.6,0.271028327,0.914691943,0.733333333,-14.39477208,17.21086766,-45.72318998,0.604705528
vmax-APD50,0.75,0.5,0.8125,0.909090909,0.793650794,0.916666667,1,0.142857143,0.75,0.636363636,0.833333333,0.75,2.749995188,1.142856,3.999988,1.57E-06,0.97959186,0.30000084,0.714285714,0.222222222,0.666666667,0.31604281,0.928909953,0.733333333,0.974949355,8.855872553,13.87603514,14.64782355
vrest-CaTD50,0.875,0.5,0.8125,0.981818182,0.777777778,0.875,0.8,0.428571429,1,0.818181818,0.8,0.75,5.49997525,3.428556857,3.999988,0.220000858,0.571429,1.33E-06,0.8,0.6,0.727272727,0.175251569,0.895734597,0.733333333,0.033662399,3.968790076,8.554031951,6.319197596
APD90-carest,0.75,0.5625,0.875,0.854545455,0.793650794,0.958333333,0.8,0.285714286,0.75,0.727272727,0.714285714,0.833333333,2.933326244,1.714282857,5.99997,0.275000997,0.816326741,0.272728066,0.666666667,0.4,0.75,0.277444554,0.900473934,0.733333333,-2.194875476,1.269208471,6.046709496,2.549332677
camax-CaTD50,0.75,0.5,0.8125,0.909090909,0.73015873,0.916666667,0.8,0.142857143,1,0.727272727,0.833333333,0.75,2.933326244,1.999993,3.999988,0.275000997,0.857143,1.33E-06,0.666666667,0.25,0.727272727,0.324389339,0.900473934,0.733333333,-1.532994391,2.582943762,8.062438749,6.379766584
qNet-dvdtmax,0.8125,0.5,0.75,0.854545455,0.761904762,0.895833333,0.6,0.428571429,0.75,0.909090909,0.666666667,0.666666667,6.599938401,1.714282857,2.999992,0.440000616,0.71428619,0.333334222,0.666666667,0.545454545,0.6,0.29711704,0.909952607,0.7,-15.53151324,16.32589985,-46.46491194,-3.829742449
qNet-APD50,0.8125,0.4375,0.75,0.854545455,0.746031746,0.895833333,0.6,0.428571429,0.75,0.909090909,0.5,0.666666667,6.599938401,1.285713429,2.999992,0.440000616,0.857143071,0.333334222,0.666666667,0.5,0.6,0.282702977,0.914691943,0.7,-12.8726472,20.31221008,-51.60407653,-7.567378018
qNet-APD90,0.8125,0.5,0.75,0.872727273,0.746031746,0.90625,0.6,0.428571429,0.75,0.818181818,0.666666667,0.666666667,4.3999813,1.49999825,2.99999395,0.440000616,0.80000028,0.30000084,0.666666667,0.5,0.665384615,0.269417399,0.914691943,0.7,-14.97157531,16.66798442,-45.04139656,2.661499676
