Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3
vrest-max_dv-camax,0.8125,0.5625,0.875,0.963636364,0.920634921,0.979166667,1,0.428571429,1,0.727272727,1,0.833333333,3.666656889,285715.4721,5.99997,1.37E-06,0.571429,1.20E-06,0.769230769,0.6,0.8,0.175377765,0.957345972,0.9,0.603035286,9.808755677,27.98540877,16.36621157,-14.69497087
vrest-max_dv-CaTD90,0.875,0.5,0.8125,0.963636364,0.857142857,0.9375,1,0.428571429,1,0.818181818,1,0.75,5.49997525,285715.159,3.999988,1.22E-06,0.571429,1.33E-06,0.833333333,0.6,0.727272727,0.183048376,0.962085308,0.9,-0.009109247,21.71205616,66.24475764,12.23236387,44.50894981
APD90-camax-carest,0.8125,0.5625,0.875,0.981818182,0.873015873,0.9375,1,0.285714286,1,0.727272727,1,0.833333333,3.666656889,285715.1571,5.99997,1.37E-06,0.714286,1.20E-06,0.769230769,0.444444444,0.8,0.231715658,0.938388626,0.9,-0.205001134,4.159658759,8.876932485,-19.74924409,26.62283475
max_dv-camax-carest,0.8125,0.5625,0.875,0.963636364,0.904761905,0.958333333,1,0.285714286,1,0.727272727,1,0.833333333,3.666656889,285715.2247,5.99997,1.37E-06,0.714286,1.20E-06,0.769230769,0.444444444,0.8,0.201420937,0.938388626,0.9,-0.310537523,3.211911651,4.580131112,-9.905654191,15.33738532
dvdtmax-APD90-CaTD50,0.8125,0.5,0.8125,0.945454545,0.841269841,0.958333333,1,0.285714286,1,0.727272727,0.875,0.833333333,3.666656889,3.428552,4.499979,1.38E-06,0.833333528,1.33E-06,0.769230769,0.4,0.727272727,0.270904327,0.933649289,0.866666667,-2.227852062,1.173908588,3.872832778,8.389687773,-1.090818689
dvdtmax-carest-CaTD90,0.8125,0.5,0.8125,0.963636364,0.80952381,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285714.9046,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.251953353,0.928909953,0.866666667,-1.852456133,3.242621043,3.549777916,18.21566434,16.23378623
vmax-APD90-camax,0.8125,0.5,0.8125,0.945454545,0.825396825,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0619,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.271564376,0.933649289,0.866666667,-2.295355272,6.246982299,18.15460413,18.50276558,-8.292095421
vmax-APD90-CaTD50,0.8125,0.5,0.8125,0.945454545,0.825396825,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.011,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.287055978,0.933649289,0.866666667,-1.240019801,6.266807274,12.5981318,10.63783892,4.15795406
vmax-APD90-CaTD90,0.8125,0.5,0.8125,0.945454545,0.80952381,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142857.9833,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.264091233,0.933649289,0.866666667,-2.39028228,7.459826912,21.09625662,12.27902542,11.17799834
vmax-max_dv-camax,0.8125,0.5,0.8125,0.963636364,0.873015873,0.9375,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142857.9942,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.291987894,0.933649289,0.866666667,-1.168270079,4.023502046,9.13141347,8.321556673,-2.166580638
vmax-max_dv-carest,0.8125,0.5,0.8125,0.963636364,0.857142857,0.9375,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142857.7864,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.294532106,0.933649289,0.866666667,-1.305612559,3.980246014,10.11768787,8.517242946,-3.190585477
vmax-max_dv-CaTD50,0.8125,0.5,0.8125,0.963636364,0.825396825,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0004,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.29707613,0.924170616,0.866666667,-1.135504792,4.30456956,8.625433654,6.745372405,2.192943232
vmax-max_dv-CaTD90,0.8125,0.5,0.8125,0.945454545,0.80952381,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0345,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.284614323,0.924170616,0.866666667,-1.608777911,5.715043482,15.6822041,7.629238584,7.617150626
vmax-camax-CaTD50,0.8125,0.5,0.8125,0.963636364,0.777777778,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0564,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.287370134,0.91943128,0.866666667,-0.633071629,4.969912488,4.893830961,9.277729591,9.389181197
vmax-carest-CaTD90,0.8125,0.5,0.8125,0.945454545,0.825396825,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0246,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.254123435,0.938388626,0.866666667,0.814137539,11.02152196,18.51136015,23.7900959,27.310902
vrest-APD90-CaTD50,0.8125,0.5,0.8125,0.963636364,0.825396825,0.9375,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285714.8345,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.222996221,0.943127962,0.866666667,2.083922992,16.25633424,31.66121828,13.8033481,14.43871328
vrest-max_dv-CaTD50,0.8125,0.5,0.8125,0.963636364,0.80952381,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.0752,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.233855739,0.933649289,0.866666667,0.143017452,9.402335608,19.08897617,6.949424684,9.624615937
vrest-camax-CaTD50,0.8125,0.5,0.8125,0.963636364,0.793650794,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285714.9639,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.23646767,0.924170616,0.866666667,0.088529676,7.698397709,10.38632633,9.146034793,13.59435911
vrest-carest-CaTD50,0.875,0.5,0.8125,0.981818182,0.777777778,0.875,1,0.285714286,1,0.818181818,1,0.75,5.49997525,285715.1464,3.999988,1.22E-06,0.714286,1.33E-06,0.833333333,0.444444444,0.727272727,0.228505222,0.909952607,0.866666667,-0.087940917,5.485643295,5.002728264,8.815046629,9.55507948
vrest-CaTD50-CaTD90,0.875,0.5,0.8125,0.963636364,0.80952381,0.916666667,0.6,0.571428571,1,1,0.666666667,0.75,599999.7776,1.714283571,3.999988,0.4000006,0.642857679,1.33E-06,0.75,0.615384615,0.727272727,0.223318011,0.947867299,0.866666667,1.685710488,15.72470834,50.21609454,2.402070053,36.36625306
APD50-camax-carest,0.8125,0.5,0.8125,0.981818182,0.825396825,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.125,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.235901248,0.933649289,0.866666667,-0.841340633,4.645580748,11.27302282,-23.60333738,30.58933585
