Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4
dvdtmax-APD90-camax-carest,0.8125,0.5625,0.875,0.963636364,0.904761905,0.958333333,1,0.285714286,1,0.727272727,1,0.833333333,3.666656889,285715.3275,5.99997,1.37E-06,0.714286,1.20E-06,0.769230769,0.444444444,0.8,0.205012889,0.938388626,0.9,0.869683428,5.278966106,-1.243654059,8.496422906,-23.35291202,32.52491259
dvdtmax-max_dv-camax-carest,0.75,0.5625,0.875,0.945454545,0.873015873,0.958333333,1,0.285714286,1,0.636363636,1,0.833333333,2.749995188,285714.9817,5.99997,1.57E-06,0.714286,1.20E-06,0.714285714,0.444444444,0.8,0.226144362,0.928909953,0.9,1.594557404,5.277124329,-2.677913594,4.289454778,-19.10280535,28.88684992
vmax-vrest-APD90-camax,0.875,0.5,0.8125,0.963636364,0.904761905,0.9375,1,0.428571429,1,0.818181818,1,0.75,5.49997525,428571.4695,3.999988,1.22E-06,0.571429,1.33E-06,0.833333333,0.6,0.727272727,0.169098549,0.966824645,0.9,1.075732759,21.29631761,13.76855091,49.9112627,47.52008731,-34.77436027
vmax-vrest-max_dv-CaTD90,0.875,0.5,0.8125,0.963636364,0.873015873,0.9375,1,0.285714286,1,0.818181818,1,0.75,5.49997525,285714.9808,3.999988,1.22E-06,0.714286,1.33E-06,0.833333333,0.444444444,0.727272727,0.195250086,0.957345972,0.9,1.06665525,24.81423328,12.67189884,61.76284454,13.34236681,48.13485101
vrest-APD90-camax-CaTD50,0.875,0.5,0.8125,0.963636364,0.873015873,0.9375,1,0.428571429,1,0.818181818,1,0.75,5.49997525,285715.4902,3.999988,1.22E-06,0.571429,1.33E-06,0.833333333,0.6,0.727272727,0.187615033,0.962085308,0.9,1.893650844,22.17869534,57.15678679,34.8307729,-22.41629328,9.280767119
vrest-max_dv-CaTD50-CaTD90,0.875,0.5,0.8125,0.963636364,0.857142857,0.9375,1,0.428571429,1,0.818181818,1,0.75,5.49997525,285715.3951,3.999988,1.22E-06,0.571429,1.33E-06,0.833333333,0.6,0.727272727,0.184845962,0.962085308,0.9,1.301766755,23.33240487,65.75869505,11.29158289,4.602970757,38.24437768
dvdtmax-APD50-camax-carest,0.8125,0.5,0.8125,0.963636364,0.857142857,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.1431,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.233666915,0.938388626,0.866666667,-0.032097404,5.491679345,-0.918016674,11.00937215,-26.26803049,35.00065637
dvdtmax-APD50-carest-CaTD90,0.8125,0.5,0.8125,0.945454545,0.857142857,0.9375,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.0212,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.225805121,0.943127962,0.866666667,7.576902441,14.45810038,-5.359055149,-38.81492389,88.76150174,70.42207038
dvdtmax-camax-carest-CaTD90,0.8125,0.5,0.8125,0.963636364,0.841269841,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.1326,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.231313714,0.943127962,0.866666667,1.526541498,7.629505342,-1.687250387,-21.35515733,48.5928173,16.43397021
vmax-vrest-max_dv-camax,0.8125,0.5,0.8125,0.963636364,0.920634921,0.958333333,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.326,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.196756874,0.957345972,0.866666667,0.193794622,9.365047042,2.450906261,24.58456855,16.36309489,-14.06523748
vmax-vrest-carest-CaTD50,0.875,0.5,0.8125,0.963636364,0.777777778,0.875,1,0.428571429,1,0.818181818,1,0.75,5.49997525,285715.1883,3.999988,1.22E-06,0.666667056,1.33E-06,0.833333333,0.545454545,0.727272727,0.211943207,0.909952607,0.866666667,0.280098426,7.144488883,-4.382255279,12.81260447,8.203272743,12.08602487
vmax-vrest-CaTD50-CaTD90,0.8125,0.4375,0.75,0.963636364,0.793650794,0.916666667,1,0.142857143,1,0.727272727,1,0.666666667,3.666656889,142858.0753,2.999994,1.37E-06,0.857143,1.50E-06,0.769230769,0.25,0.666666667,0.262582121,0.91943128,0.866666667,-8.650288339,15.50925682,-19.87861383,132.0498209,30.01739567,90.05366541
vmax-APD90-camax-CaTD50,0.8125,0.5,0.8125,0.927272727,0.841269841,0.9375,1,0.285714286,1,0.727272727,1,0.75,3.666656889,142857.9071,3.999988,1.38E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.217076686,0.943127962,0.866666667,-3.317446321,5.593378706,24.61951867,30.32923718,-20.5898363,-8.186939089
