Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5
dvdtmax-vmax-vrest-max_dv-camax,0.75,0.5625,0.875,0.927272727,0.857142857,0.9375,1,0.285714286,1,0.636363636,1,0.833333333,2.749995188,142858.1381,5.99997,1.57E-06,0.714286,1.20E-06,0.714285714,0.444444444,0.8,0.209958818,0.957345972,0.9,1.088708328,39.91194471,-79.90286763,77.09350848,85.34616917,57.71109257,-70.87629673
dvdtmax-vrest-carest-CaTD50-CaTD90,0.875,0.4375,0.75,0.963636364,0.825396825,0.916666667,1,0.142857143,1,0.818181818,1,0.666666667,5.49997525,142858.1328,2.999994,1.22E-06,0.857143,1.50E-06,0.833333333,0.25,0.666666667,0.23842602,0.943127962,0.9,-20.02273169,15.14147928,15.7483346,187.5451137,72.79971435,-54.18832289,312.7316184
vmax-vrest-APD50-CaTD50-CaTD90,0.875,0.5,0.8125,0.981818182,0.857142857,0.916666667,1,0.285714286,1,0.818181818,1,0.75,5.49997525,285715.1857,3.999988,1.22E-06,0.714286,1.33E-06,0.833333333,0.444444444,0.727272727,0.201490238,0.952606635,0.9,-35.02331467,38.06705462,8.155343725,217.2030979,86.53525006,-22.24973496,210.1903807
vrest-APD50-APD90-carest-CaTD50,0.875,0.5,0.8125,0.945454545,0.80952381,0.916666667,1,0.285714286,1,0.818181818,1,0.75,5.49997525,285715.0386,3.999988,1.22E-06,0.714286,1.33E-06,0.833333333,0.444444444,0.727272727,0.229323604,0.928909953,0.9,-21.43426966,49.4720646,125.6526614,22.29004602,52.42245378,20.2665531,92.98331614
vmax-vrest-APD90-camax-CaTD50,0.8125,0.5,0.8125,0.963636364,0.904761905,0.9375,1,0.428571429,1,0.727272727,1,0.75,3.666656889,428571.6237,3.999988,1.37E-06,0.571429,1.33E-06,0.769230769,0.6,0.727272727,0.159817898,0.966824645,0.866666667,1.013767991,20.95185509,15.79425756,48.85996971,50.10392516,-37.55512342,-2.400072235
qNet-vmax-vrest-APD90-camax,0.8125,0.5625,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,1,0.909090909,0.666666667,0.833333333,6.599938401,1.9999965,5.99997,0.440000616,0.60000056,1.33E-06,0.666666667,0.615384615,0.75,0.190022623,0.933649289,0.833333333,-3.287314708,36.61157068,-42.27519771,-3.166895304,50.19882827,18.37107514,-21.29893503
qNet-vrest-APD90-camax-CaTD50,0.8125,0.5625,0.875,0.872727273,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.666666667,0.833333333,6.599938401,1.9999965,5.99997,0.440000616,0.60000056,1.20E-06,0.666666667,0.615384615,0.8,0.181147442,0.933649289,0.833333333,-14.1660689,25.30130442,-46.67233214,42.29357527,43.47019069,-44.74703581,-19.04847447
qNet-vrest-APD90-camax-CaTD90,0.8125,0.5625,0.875,0.890909091,0.793650794,0.9375,0.6,0.571428571,1,0.909090909,0.666666667,0.833333333,6.599938401,1.9999965,5.99997,0.440000616,0.60000056,1.33E-06,0.666666667,0.615384615,0.75,0.188945149,0.943127962,0.833333333,-2.344846787,37.12870733,-38.97569011,51.17359797,16.33658047,-15.85181316,7.809455433
dvdtmax-vmax-vrest-max_dv-CaTD50,0.875,0.4375,0.75,0.963636364,0.777777778,0.916666667,0.8,0.285714286,1,0.909090909,0.8,0.666666667,8.799914201,2.142851429,2.999994,0.220000858,0.714286071,1.50E-06,0.8,0.444444444,0.666666667,0.240746933,0.943127962,0.833333333,18.51209607,58.50886833,-60.24864397,36.13792231,131.0265668,-10.75879165,83.97188749
dvdtmax-vmax-vrest-carest-CaTD90,0.8125,0.5625,0.875,0.927272727,0.857142857,0.9375,0.8,0.428571429,1,0.818181818,0.8,0.833333333,4.3999813,2.999986,5.99997,0.244445368,0.571429143,1.33E-06,0.727272727,0.6,0.75,0.142952996,0.962085308,0.833333333,3.827250145,35.68580543,-41.01300082,31.76314499,71.89050653,38.6387724,81.94158
dvdtmax-vrest-APD50-camax-CaTD50,0.8125,0.5625,0.875,0.909090909,0.857142857,0.947916667,0.8,0.428571429,1,0.818181818,0.8,0.833333333,3.666656889,3.428552,5.99997,0.244445368,0.571429,1.20E-06,0.727272727,0.6,0.8,0.150480812,0.962085308,0.833333333,-19.9940683,13.91912977,3.556106816,100.5883044,152.7731481,-127.6378809,-57.01750464
dvdtmax-vrest-APD50-CaTD50-CaTD90,0.8125,0.5,0.8125,0.927272727,0.825396825,0.947916667,0.6,0.428571429,1,0.818181818,0.666666667,0.75,5.49997525,2.142853657,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.177749326,0.962085308,0.833333333,-25.07707384,4.772485055,-0.016400191,92.197711,48.19041671,-58.524318,142.7975362
dvdtmax-APD50-camax-carest-CaTD50,0.75,0.5625,0.875,0.927272727,0.80952381,0.916666667,1,0.285714286,0.75,0.636363636,1,0.833333333,2.749995188,142858.4994,5.99997,1.57E-06,0.714286,0.272728066,0.714285714,0.444444444,0.75,0.242564318,0.928909953,0.833333333,1.568826926,7.279654517,0.164413757,26.59266628,-56.45562006,60.1997169,-12.11632015
vmax-vrest-APD50-APD90-CaTD90,0.8125,0.5,0.8125,0.909090909,0.777777778,0.9375,0.6,0.428571429,1,0.909090909,0.666666667,0.75,6.599938401,1.714283571,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.208862819,0.952606635,0.833333333,4.816550825,44.31585077,-10.21899204,112.6516526,123.8242133,-95.69794424,59.44007502
vmax-vrest-APD50-camax-carest,0.8125,0.5,0.8125,0.945454545,0.857142857,0.9375,0.8,0.428571429,1,0.818181818,0.8,0.75,5.49997525,2.857133571,3.999988,0.244445368,0.666667056,1.33E-06,0.75,0.545454545,0.727272727,0.149647797,0.966824645,0.833333333,-4.320768428,28.65279055,18.75869362,91.41363163,68.858461,-5.301380422,-73.35955756
vmax-vrest-APD50-camax-CaTD50,0.8125,0.5625,0.875,0.945454545,0.888888889,0.9375,0.8,0.428571429,1,0.727272727,0.833333333,0.833333333,3.666656889,3.999979,5.99997,0.244445368,0.571429,1.20E-06,0.727272727,0.6,0.8,0.143624101,0.966824645,0.833333333,-16.4553823,18.00064576,14.43601307,91.14075974,145.3727141,-121.1487163,-52.36980753
vmax-vrest-APD50-carest-CaTD90,0.8125,0.5,0.8125,0.945454545,0.857142857,0.9375,0.8,0.428571429,1,0.818181818,0.8,0.75,5.49997525,2.857133571,3.999988,0.244445368,0.666667056,1.33E-06,0.75,0.545454545,0.727272727,0.155559621,0.966824645,0.833333333,-4.290641216,28.67906739,19.40609839,90.94514273,63.85908081,-72.35467015,7.053714868
vmax-vrest-APD90-camax-carest,0.8125,0.5625,0.875,0.927272727,0.873015873,0.947916667,0.8,0.428571429,1,0.727272727,0.8,0.833333333,3.666656889,3.428556857,5.99997,0.244445368,0.666667056,1.33E-06,0.727272727,0.545454545,0.75,0.147530882,0.966824645,0.833333333,-4.80229124,18.33747987,26.95169216,66.55369466,52.85682887,18.49571592,-90.27589237
vmax-vrest-APD90-carest-CaTD90,0.875,0.5,0.8125,0.963636364,0.873015873,0.9375,0.8,0.285714286,1,0.818181818,0.833333333,0.75,5.49997525,3.428556857,3.999988,0.220000858,0.714286,1.33E-06,0.8,0.444444444,0.727272727,0.185318985,0.962085308,0.833333333,0.784841669,27.16821864,18.69637491,67.75275998,28.82387268,-13.32255168,42.60559086
vmax-vrest-camax-CaTD50-CaTD90,0.875,0.5,0.8125,0.945454545,0.825396825,0.927083333,0.8,0.428571429,1,0.818181818,0.75,0.75,5.49997525,2.285704,3.999988,0.244445368,0.685714663,1.33E-06,0.75,0.545454545,0.727272727,0.187179441,0.962085308,0.833333333,-26.55678262,2.792841629,19.64127183,79.19052032,61.18427702,-65.8829563,221.8747529
vmax-APD90-camax-carest-CaTD90,0.8125,0.4375,0.75,0.963636364,0.857142857,0.895833333,1,0.142857143,1,0.727272727,1,0.666666667,3.666656889,142858.1368,2.999994,1.37E-06,0.857143,1.50E-06,0.769230769,0.25,0.666666667,0.256639276,0.938388626,0.833333333,-27.35256181,18.5029823,53.40761725,93.43279558,-65.44074649,101.6018465,38.18998193
vrest-APD50-APD90-camax-carest,0.8125,0.5,0.8125,0.909090909,0.761904762,0.9375,0.6,0.428571429,1,0.909090909,0.666666667,0.75,6.599938401,1.714283571,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.214903747,0.947867299,0.833333333,-5.240056169,34.10441354,115.5347854,142.4955244,-67.85644668,-12.97144776,-69.40827794
vrest-APD50-APD90-camax-CaTD90,0.8125,0.5,0.8125,0.945454545,0.80952381,0.927083333,0.6,0.428571429,1,0.909090909,0.666666667,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.165410944,0.962085308,0.833333333,6.074293059,44.80024331,103.5866018,94.41293036,-78.34748883,15.00967287,74.45672666
vrest-APD50-APD90-carest-CaTD90,0.8125,0.5,0.8125,0.909090909,0.761904762,0.927083333,0.6,0.428571429,1,0.909090909,0.666666667,0.75,6.599938401,1.714282857,3.999988,0.440000616,0.750000437,1.33E-06,0.666666667,0.545454545,0.727272727,0.228008694,0.947867299,0.833333333,-5.339904223,34.04544731,115.2156765,131.4177548,-68.766914,-66.14759186,17.4274208
vrest-APD50-camax-carest-CaTD50,0.8125,0.5625,0.875,0.909090909,0.841269841,0.947916667,0.6,0.571428571,1,0.818181818,0.714285714,0.833333333,4.3999813,2.571423857,5.99997,0.4000006,0.514286297,1.20E-06,0.666666667,0.666666667,0.8,0.148706763,0.957345972,0.833333333,-16.82976949,16.54553574,101.2713814,129.3195491,-95.41111339,-17.5685123,-40.87175001
vrest-APD50-camax-CaTD50-CaTD90,0.875,0.5,0.8125,0.963636364,0.888888889,0.947916667,0.8,0.428571429,1,0.818181818,0.833333333,0.75,5.49997525,3.571415714,3.999988,0.220000858,0.571429,1.33E-06,0.8,0.6,0.727272727,0.159633424,0.971563981,0.833333333,-7.526299557,38.6349754,187.6934402,129.9514484,-92.54391118,-46.26717252,84.6379201
vrest-APD50-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.927272727,0.825396825,0.947916667,0.6,0.428571429,1,0.818181818,0.666666667,0.75,5.49997525,2.142853714,3.999988,0.440000616,0.666667056,1.33E-06,0.666666667,0.545454545,0.727272727,0.172480439,0.962085308,0.833333333,-27.26578921,2.529736514,91.45509494,46.82350149,7.669265802,-65.33194568,158.3815978
