Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6
dvdtmax-vmax-vrest-APD50-max_dv-CaTD50,0.8125,0.5,0.8125,0.945454545,0.857142857,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,5.142832286,3.999988,1.57E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.2105888,0.957345972,0.866666667,22.56361998,82.06112615,-105.1753051,83.81902087,130.4998959,-53.50884042,50.95750168,81.0493612
dvdtmax-vrest-APD50-camax-CaTD50-CaTD90,0.8125,0.5625,0.875,0.927272727,0.857142857,0.947916667,0.6,0.571428571,1,0.818181818,0.714285714,0.833333333,5.49997525,2.571423857,5.99997,0.4000006,0.514286297,1.20E-06,0.727272727,0.666666667,0.8,0.128754223,0.966824645,0.866666667,-24.5399417,6.486853484,3.203537475,95.23372629,87.19171387,-45.22450585,-63.03012562,99.1009296
vmax-vrest-APD90-camax-CaTD50-CaTD90,0.8125,0.5,0.8125,0.945454545,0.80952381,0.916666667,1,0.142857143,1,0.727272727,1,0.75,3.666656889,142858.0395,3.999988,1.38E-06,0.857143,1.33E-06,0.769230769,0.25,0.727272727,0.27971259,0.933649289,0.866666667,-5.652913713,45.50769781,24.2448759,82.70264257,110.3077458,-26.12787082,71.22462858,-58.19125372
vrest-APD50-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.927272727,0.857142857,0.947916667,0.6,0.571428571,1,0.818181818,0.714285714,0.833333333,5.49997525,2.571423857,5.99997,0.4000006,0.514286297,1.20E-06,0.727272727,0.666666667,0.8,0.128817501,0.966824645,0.866666667,-29.38614205,1.756799001,94.05989971,82.3220868,-45.0013634,18.19634107,-75.7678327,132.1134111
qNet-dvdtmax-vmax-vrest-APD50-camax,0.875,0.4375,0.75,0.963636364,0.793650794,0.875,0.6,0.428571429,1,1,0.666666667,0.666666667,599999.7586,1.285713429,2.999994,0.4000006,0.857143071,1.50E-06,0.75,0.5,0.666666667,0.295411543,0.952606635,0.833333333,-94.49838772,103.1471553,-140.3296673,0.205552291,125.5744754,101.6239041,160.8756318,-137.0583962
qNet-dvdtmax-vmax-vrest-APD90-CaTD90,0.875,0.4375,0.75,0.963636364,0.825396825,0.916666667,0.8,0.142857143,1,0.818181818,0.833333333,0.666666667,5.49997525,2.571419143,2.999994,0.220000858,0.857143,1.50E-06,0.8,0.25,0.666666667,0.267580773,0.952606635,0.833333333,2.632594337,39.17717437,-35.31895867,-52.85690082,59.11081962,155.0704532,-16.60702266,166.5955062
qNet-vmax-vrest-APD90-max_dv-camax,0.875,0.5,0.8125,0.963636364,0.841269841,0.916666667,0.8,0.428571429,1,0.818181818,0.8,0.75,5.49997525,2.571419143,3.999988,0.220000858,0.685714663,1.33E-06,0.8,0.545454545,0.727272727,0.187772684,0.962085308,0.833333333,-41.51191179,83.85940171,-100.6351714,51.4095063,108.0741022,49.95687829,52.84450417,-84.29569829
qNet-vmax-vrest-APD90-camax-CaTD50,0.8125,0.5625,0.875,0.872727273,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.666666667,0.833333333,6.599938401,1.9999965,5.99997,0.440000616,0.60000056,1.20E-06,0.666666667,0.615384615,0.8,0.183039047,0.933649289,0.833333333,-13.99820392,25.69669992,-47.45340574,-1.321306886,42.78816163,41.54239339,-43.58021967,-18.36301711
qNet-vmax-vrest-APD90-camax-CaTD90,0.8125,0.5625,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,1,0.909090909,0.666666667,0.833333333,6.599938401,1.9999965,5.99997,0.440000616,0.60000056,1.33E-06,0.666666667,0.615384615,0.75,0.189744802,0.933649289,0.833333333,-3.295605667,36.85256922,-42.54955407,-3.07959654,50.46800883,18.96840532,-21.95565398,-0.576091292
dvdtmax-vmax-vrest-APD50-camax-carest,0.8125,0.4375,0.75,0.927272727,0.777777778,0.916666667,0.6,0.428571429,1,0.909090909,0.666666667,0.666666667,6.599938401,1.49999825,2.999994,0.440000616,0.80000028,1.50E-06,0.666666667,0.5,0.666666667,0.225861044,0.962085308,0.833333333,-34.74355189,53.61485109,-73.05889984,79.45120677,212.5617111,183.2642879,-79.87536547,-105.1593412
