Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7
qNet-vrest-APD50-APD90-camax-carest-CaTD90,0.875,0.5,0.8125,0.981818182,0.857142857,0.916666667,0.995,0.428571429,1,0.818181818,0.996428571,0.75,5.49997525,139286.6206,3.999988,0.005001212,0.666667056,1.33E-06,0.833333333,0.545454545,0.727272727,0.189891004,0.952606635,0.9,-26.73194496,45.86505308,-8.966642052,187.1977636,-6.035099056,6.651752362,53.08611473,40.75683553,248.6049778
vmax-vrest-APD50-APD90-max_dv-camax-CaTD50,0.875,0.4375,0.75,0.945454545,0.849206349,0.916666667,1,0.142857143,1,0.818181818,1,0.666666667,5.49997525,142858.1051,2.999994,1.22E-06,0.857143,1.50E-06,0.833333333,0.25,0.666666667,0.27074717,0.952606635,0.9,-2.017968931,47.53350431,37.38537047,178.6209413,5.021926411,129.4182318,12.63191999,-96.37542178,31.28700422
dvdtmax-vmax-vrest-APD50-camax-carest-CaTD90,0.875,0.4375,0.75,0.963636364,0.761904762,0.916666667,0.6,0.428571429,1,1,0.666666667,0.666666667,599999.7356,1.285713429,2.999994,0.4000006,0.857143071,1.50E-06,0.75,0.5,0.666666667,0.281975019,0.952606635,0.866666667,-37.87871347,25.74024648,-47.49619537,40.46540945,181.887809,102.9303451,-77.75318088,-46.38422215,54.43116227
dvdtmax-vrest-APD50-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.945454545,0.873015873,0.947916667,0.8,0.571428571,1,0.818181818,0.75,0.833333333,5.49997525,2.999986,5.99997,0.245209259,0.514286297,1.20E-06,0.727272727,0.666666667,0.8,0.123691031,0.966824645,0.866666667,-28.95957585,2.366556775,1.271563081,94.61564248,88.18844596,-51.45022386,17.64576764,-76.25059761,125.1582557
vmax-vrest-APD90-max_dv-camax-CaTD50-CaTD90,0.8125,0.5,0.8125,0.945454545,0.841269841,0.916666667,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285714.7404,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.253746041,0.952606635,0.866666667,-11.18461795,35.08489909,3.692505987,187.0011779,-44.07836249,81.03742922,3.20606441,-27.25367414,177.3832863
vrest-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.909090909,0.80952381,0.947916667,0.6,0.571428571,1,0.909090909,0.625,0.833333333,6.599938401,1.9999965,5.99997,0.440000616,0.60000056,1.33E-06,0.666666667,0.615384615,0.75,0.181629121,0.952606635,0.866666667,-35.64786354,4.058795907,114.569286,172.0128665,-73.6342964,-43.32660976,2.449530114,-90.22307438,151.6609954
qNet-dvdtmax-vmax-vrest-APD50-carest-CaTD90,0.8125,0.4375,0.75,0.909090909,0.761904762,0.916666667,0.6,0.428571429,1,0.909090909,0.666666667,0.666666667,6.599938401,1.49999825,2.999994,0.440000616,0.80000028,1.50E-06,0.666666667,0.5,0.666666667,0.257809078,0.938388626,0.833333333,-27.59497285,50.64731536,-51.50518853,-75.57333183,23.01090266,144.363408,-10.53600982,69.46371926,170.5464164
qNet-dvdtmax-vmax-vrest-APD90-camax-CaTD90,0.8125,0.5625,0.875,0.872727273,0.793650794,0.9375,0.6,0.571428571,1,0.909090909,0.666666667,0.833333333,6.599938401,1.9999965,5.99997,0.440000616,0.60000056,1.33E-06,0.666666667,0.615384615,0.75,0.192266844,0.933649289,0.833333333,-3.412774187,36.84376889,-41.82178605,0.861368984,-4.634747882,52.70626951,12.98035949,-14.04446151,9.491018281
qNet-vmax-vrest-APD90-max_dv-camax-CaTD50,0.875,0.4375,0.75,0.963636364,0.825396825,0.927083333,0.6,0.428571429,1,0.909090909,0.666666667,0.666666667,8.799914201,1.285713429,2.999994,0.4000006,0.857143071,1.50E-06,0.75,0.5,0.666666667,0.286678987,0.962085308,0.833333333,-40.88200928,36.34360021,-71.38419016,75.0812371,24.47680049,64.07567146,22.38222194,-79.66708889,-29.55431741
dvdtmax-vmax-vrest-APD50-APD90-max_dv-camax,0.875,0.375,0.6875,0.981818182,0.825396825,0.916666667,1,0,1,0.818181818,1,0.583333333,5.49997525,1.000000176,2.39999664,1.22E-06,1,1.71E-06,0.833333333,0,0.615384615,0.330006426,0.933649289,0.833333333,3.795319062,18.78847933,-31.01868242,11.42827554,166.4168725,-12.05918564,21.4243751,58.11126352,-132.8066113
