Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8
qNet-dvdtmax-vmax-vrest-camax-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.927272727,0.793650794,0.9375,0.6,0.571428571,1,0.909090909,0.666666667,0.75,6.599938401,1.714283571,3.999988,0.440000616,0.642857679,1.33E-06,0.666666667,0.615384615,0.727272727,0.198969169,0.962085308,0.833333333,-22.35842407,16.64385117,-41.066755,25.67865909,-13.38934085,55.41018996,16.45497912,26.7085434,-59.18434615,151.7221183
qNet-dvdtmax-vrest-APD50-APD90-camax-carest-CaTD50,0.8125,0.5625,0.875,0.854545455,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.666666667,0.833333333,6.599938401,1.9999965,5.99997,0.440000616,0.60000056,1.33E-06,0.666666667,0.615384615,0.75,0.188652995,0.928909953,0.833333333,-16.09873448,24.11213738,-39.30557983,0.065641303,58.17634318,36.58985299,21.27342198,-41.83148191,-21.55072439,-21.97968261
qNet-vrest-APD90-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.927272727,0.785714286,0.947916667,0.6,0.571428571,1,0.909090909,0.666666667,0.75,6.599938401,1.714283571,3.999988,0.440000616,0.642857679,1.33E-06,0.666666667,0.615384615,0.727272727,0.213115209,0.957345972,0.833333333,-26.51742735,74.71285757,-118.8687179,76.66441646,-42.54136225,58.7818903,-115.1639231,100.3991733,-25.56678938,31.25991764
dvdtmax-vmax-vrest-APD50-max_dv-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.927272727,0.793650794,0.927083333,0.6,0.571428571,1,0.909090909,0.571428571,0.75,6.599938401,1.666665111,3.999988,0.440000616,0.642857679,1.33E-06,0.666666667,0.615384615,0.727272727,0.255098348,0.957345972,0.833333333,-26.29350669,11.00275475,49.98694954,-18.62321278,118.1205531,140.2252668,-52.59819741,-2.679340358,-84.01257938,186.429952
qNet-dvdtmax-vmax-vrest-APD50-APD90-camax-carest,0.8125,0.5625,0.8125,0.836363636,0.825396825,0.927083333,0.6,0.571428571,1,0.909090909,0.666666667,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.60000056,1.50E-06,0.666666667,0.615384615,0.666666667,0.236859236,0.91943128,0.8,-12.50168574,26.05355978,-35.27464294,-13.53445857,5.499719604,56.88277431,5.769914016,22.04714097,-4.891507825,-37.86009825
qNet-dvdtmax-vmax-vrest-APD50-APD90-carest-CaTD50,0.8125,0.5625,0.8125,0.836363636,0.841269841,0.927083333,0.6,0.571428571,1,0.909090909,0.666666667,0.75,6.599938401,2.142853714,3.999988,0.440000616,0.514286297,1.50E-06,0.666666667,0.666666667,0.727272727,0.232774563,0.91943128,0.8,-15.27087701,23.76481421,-66.92482302,-7.653243752,5.862474342,11.10288802,-103.6520399,97.17401496,-13.61528886,-2.848127244
qNet-dvdtmax-vmax-vrest-APD50-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.890909091,0.777777778,0.9375,0.6,0.571428571,1,0.909090909,0.6,0.75,6.599938401,1.714283571,3.999988,0.440000616,0.642857679,1.50E-06,0.666666667,0.615384615,0.727272727,0.203069199,0.947867299,0.8,-28.36851191,10.22097092,-32.99416192,5.925151413,-2.10684515,62.28990396,25.1970539,13.50208132,-62.11092525,135.7210336
qNet-dvdtmax-vmax-vrest-APD90-camax-carest-CaTD90,0.8125,0.5,0.8125,0.927272727,0.777777778,0.895833333,0.6,0.428571429,1,0.818181818,0.666666667,0.75,5.49997525,1.9999965,3.999988,0.440000616,0.685714663,1.33E-06,0.666666667,0.545454545,0.727272727,0.232006143,0.943127962,0.8,-23.10086796,66.46316093,-85.80843914,36.02034085,-37.65266845,112.7320219,48.98444795,-38.53663081,32.94940603,45.48522506
qNet-dvdtmax-vmax-vrest-max_dv-camax-carest-CaTD50,0.8125,0.5,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,1,0.909090909,0.666666667,0.75,6.599938401,1.9999965,3.999988,0.440000616,0.60000056,1.33E-06,0.666666667,0.615384615,0.727272727,0.204043493,0.924170616,0.8,-7.9619023,32.88494138,-44.70597069,-0.103006515,-2.835457862,52.08924494,11.24962053,-2.308858958,-28.10088535,1.695409089
qNet-dvdtmax-vmax-vrest-max_dv-camax-CaTD50-CaTD90,0.875,0.4375,0.75,0.963636364,0.714285714,0.895833333,0.6,0.285714286,1,0.909090909,0.666666667,0.666666667,8.799914201,1.285713429,2.999994,0.4000006,0.857143071,1.50E-06,0.75,0.4,0.666666667,0.288981285,0.952606635,0.8,-28.09899837,-4.441405412,-70.48797332,24.46576846,-15.26928372,107.5943652,-5.068919834,-8.516356405,-107.09391,232.6556584
