Feature_Pair,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3,AUC_Class_1,AUC_Class_2,AUC_Class_3,Sensitivity_class_1,Sensitivity_class_2,Sensitivity_class_3,Specificity_class_1,Specificity_class_2,Specificity_class_3,LR_positive_class_1,LR_positive_class_2,LR_positive_class_3,LR_negative_class_1,LR_negative_class_2,LR_negative_class_3,F1score_class_1,F1score_class_2,F1score_class_3,Classification_error,Pairwise_classification_accuracy,Rank_score,Alpha_1,Alpha_2,Beta_1,Beta_2,Beta_3,Beta_4,Beta_5,Beta_6,Beta_7,Beta_8,Beta_9
dvdtmax-vmax-vrest-APD50-APD90-max_dv-camax-carest-CaTD50,0.8125,0.5,0.8125,0.945454545,0.857142857,0.958333333,1,0.285714286,1,0.727272727,1,0.75,3.666656889,285715.065,3.999988,1.37E-06,0.714286,1.33E-06,0.769230769,0.444444444,0.727272727,0.198301161,0.966824645,0.866666667,4.250982609,73.47056233,-69.58154576,92.57819923,185.6507909,19.40094527,24.53333939,93.4673702,-128.3786117,7.937966744,6.37483983
qNet-dvdtmax-vmax-vrest-APD50-APD90-max_dv-CaTD50-CaTD90,0.8125,0.5,0.8125,0.854545455,0.698412698,0.927083333,0.6,0.571428571,1,0.909090909,0.666666667,0.75,6.599938401,1.49999825,3.999988,0.440000616,0.685714789,1.33E-06,0.666666667,0.571428571,0.727272727,0.262299155,0.91943128,0.8,-34.83492027,-2.947154852,-20.07454122,58.12336239,-7.712438183,70.89686679,-6.741369556,248.1579947,-134.4433316,-84.81608227,172.6379206
qNet-dvdtmax-vrest-APD90-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.836363636,0.73015873,0.947916667,0.6,0.571428571,1,0.909090909,0.571428571,0.833333333,6.599938401,1.714283571,4.499979,0.440000616,0.642857679,1.33E-06,0.666666667,0.615384615,0.727272727,0.220893639,0.928909953,0.8,-36.79286026,-4.562293441,-29.38749115,49.28207377,54.91621491,276.3690133,-130.8273014,-56.90892308,0.221286323,-88.31663067,104.2114286
dvdtmax-vmax-vrest-APD50-APD90-max_dv-camax-CaTD50-CaTD90,0.8125,0.5,0.8125,0.818181818,0.73015873,0.947916667,0.6,0.571428571,1,0.909090909,0.571428571,0.833333333,6.599938401,1.714283571,4.499979,0.440000616,0.642857679,1.33E-06,0.666666667,0.615384615,0.727272727,0.222845749,0.924170616,0.8,-50.35866231,-18.06219241,37.81915697,4.536470109,97.29888401,98.61459327,234.9203576,-141.0252192,-70.43524269,-123.2093065,169.4044204
dvdtmax-vrest-APD50-APD90-max_dv-camax-carest-CaTD50-CaTD90,0.8125,0.5,0.8125,0.836363636,0.73015873,0.927083333,0.6,0.571428571,1,0.909090909,0.571428571,0.75,6.599938401,1.666665111,3.999988,0.440000616,0.642857679,1.33E-06,0.666666667,0.615384615,0.727272727,0.236034475,0.924170616,0.8,-42.90034171,-10.90768638,43.21242095,98.96270455,90.50807371,228.8961217,-141.4000186,-52.55589193,-14.50016027,-102.5425664,148.1720941
qNet-dvdtmax-vmax-vrest-APD50-APD90-max_dv-camax-CaTD50,0.8125,0.4375,0.75,0.963636364,0.80952381,0.875,1,0,1,0.727272727,1,0.666666667,3.666656889,0.999998577,2.999994,1.37E-06,1,1.50E-06,0.769230769,0,0.666666667,0.358204979,0.924170616,0.766666667,-16.03876191,5.210180541,-30.72545103,11.14873415,27.60569457,-14.54068478,-45.30252069,49.05851666,-13.34921193,81.96811754,77.93204078
qNet-dvdtmax-vmax-vrest-APD50-APD90-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.890909091,0.793650794,0.9375,0.6,0.571428571,0.75,0.909090909,0.571428571,0.833333333,6.599938401,1.714284286,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.19314163,0.943127962,0.766666667,-24.73592469,12.72083317,-51.28496039,10.54183234,-2.009046202,31.65529621,-41.18530121,46.87547357,19.20476953,-50.83662218,104.2933329
qNet-dvdtmax-vrest-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.875,0.890909091,0.793650794,0.947916667,0.6,0.571428571,0.75,0.909090909,0.5,0.833333333,6.599938401,1.714284286,5.99997,0.440000616,0.60000056,0.272728066,0.666666667,0.615384615,0.75,0.186897425,0.947867299,0.766666667,-33.6209102,5.329722362,-54.11248128,10.18392312,30.12164056,-14.6293112,54.55702689,-44.86389229,44.69265329,-82.01697395,116.8470708
qNet-dvdtmax-vmax-vrest-APD50-APD90-camax-carest-CaTD50,0.8125,0.5625,0.8125,0.836363636,0.841269841,0.9375,0.6,0.571428571,0.75,0.909090909,0.666666667,0.75,6.599938401,2.142853714,3.999988,0.440000616,0.514286297,0.272728066,0.666666667,0.666666667,0.727272727,0.219767576,0.91943128,0.733333333,-20.03369303,19.54346703,-47.75860714,-13.6297374,7.870343028,39.98858543,-12.0248054,56.02345948,-37.30070158,-15.95117,-20.61496663
qNet-dvdtmax-vmax-APD50-APD90-camax-carest-CaTD50-CaTD90,0.8125,0.5625,0.8125,0.854545455,0.80952381,0.9375,0.6,0.571428571,0.75,0.909090909,0.5,0.75,6.599938401,1.714284286,3.999988,0.440000616,0.571429429,0.272728066,0.666666667,0.666666667,0.727272727,0.203467804,0.928909953,0.733333333,-33.89054914,5.621408277,-74.00211451,-3.456252906,6.160654662,-110.5471262,111.685852,-22.11736813,43.7781445,-63.01381424,99.59268513
