"Feature","1","2","3","4","5","6","7","8","9"
"qNet",1,0.769230769230769,0.6,0.589041095890411,0.680412371134021,0.74264705882353,0.771929824561403,0.866666666666667,1
"dvdtmax",0,0.0769230769230769,0.183333333333333,0.376712328767123,0.489690721649485,0.639705882352941,0.701754385964912,0.866666666666667,1
"vmax",0,0.0769230769230769,0.133333333333333,0.273972602739726,0.417525773195876,0.470588235294118,0.56140350877193,0.733333333333333,1
"vrest",0,0.153846153846154,0.433333333333333,0.465753424657534,0.43298969072165,0.345588235294118,0.298245614035088,0.333333333333333,0
"APD50",0,0.153846153846154,0.216666666666667,0.301369863013699,0.407216494845361,0.522058823529412,0.754385964912281,0.866666666666667,1
"APD90",0,0.0769230769230769,0.266666666666667,0.308219178082192,0.345360824742268,0.382352941176471,0.473684210526316,0.466666666666667,0
"max_dv",0,0.153846153846154,0.15,0.267123287671233,0.360824742268041,0.448529411764706,0.491228070175439,0.533333333333333,1
"camax",0,0.0769230769230769,0.25,0.349315068493151,0.438144329896907,0.566176470588235,0.68421052631579,0.666666666666667,1
"carest",0,0.230769230769231,0.3,0.438356164383562,0.556701030927835,0.720588235294118,0.824561403508772,0.933333333333333,1
"CaTD50",0,0.0769230769230769,0.25,0.308219178082192,0.443298969072165,0.61764705882353,0.807017543859649,0.933333333333333,1
"CaTD90",0,0.153846153846154,0.216666666666667,0.321917808219178,0.427835051546392,0.544117647058823,0.631578947368421,0.8,1
