"Feature","1","2","3","4","5","6","7","8","9"
"qNet",0.733333333,0.733333333,0.733333333000001,0.733333332999999,0.733333333000001,0.733333333,0.733333333000001,0.733333333,0.733333333
"dvdtmax",0,0.733333333,0.736363636090909,0.734545454236364,0.7340350874,0.734099616540229,0.733333333000001,0.733333333,0.733333333
"vmax",0,0.733333333,0.733333333,0.734999999700001,0.733744855641974,0.733333333,0.733333333000001,0.733333333,0.733333333
"vrest",0,0.733333333,0.737179486923077,0.737254901705882,0.734920634619047,0.734751772744681,0.733333333,0.733333333,0
"APD50",0,0.733333333,0.733333333,0.733333333000001,0.733333332999999,0.733333332999999,0.733333333000001,0.733333333,0.733333333
"APD90",0,0.733333333,0.73749999975,0.739259259044445,0.734825870343283,0.733974358653846,0.733333333,0.733333333,0
"max_dv",0,0.733333333,0.733333333,0.733333333000001,0.733809523485714,0.73387978109836,0.733333333000001,0.733333333,0.733333333
"camax",0,0.733333333,0.733333333,0.733986927784314,0.734117646741176,0.734199133883116,0.733333333000001,0.733333333,0.733333333
"carest",0,0.733333333,0.735185184888889,0.73593749971875,0.733950616962963,0.734013605122449,0.733333333,0.733333333,0.733333333
"CaTD50",0,0.733333333,0.735555555266667,0.734814814511112,0.734496123720929,0.734126983809523,0.733333333,0.733333333,0.733333333
"CaTD90",0,0.733333333,0.735897435615385,0.736170212489362,0.734136545867469,0.733333332999999,0.733333333000001,0.733333333,0.733333333
