"Feature","1","2","3","4","5","6","7","8","9"
"qNet",0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
"dvdtmax",0,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
"vmax",0,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
"vrest",0,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0
"APD50",0,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
"APD90",0,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0
"max_dv",0,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
"camax",0,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
"carest",0,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
"CaTD50",0,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
"CaTD90",0,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333,0.733333333
