"Feature","1","2","3","4","5","6","7","8","9"
"qNet",1,1,0.965295815432372,0.908599229017332,0.849414530140317,0.75013067199816,0.63994307725716,0.481583373046989,0.379437047487733
"dvdtmax",0,0.404299574841237,0.412025934261684,0.46355515660948,0.54462432158274,0.519430273706702,0.419238172675099,0.355952579785859,0.369403141393629
"vmax",0,0.0581854139472364,0.263773038976411,0.210619553585795,0.249611358777623,0.278771822090187,0.225622487937393,0.211518047461876,0.20179607000752
"vrest",0,0.398687014668464,0.611971099371322,0.627541540615341,0.520355963097828,0.39905844036385,0.296237837901348,0.173240808433784,0
"APD50",0,0.550778125897316,0.706235679538857,0.681921621831157,0.617778492903622,0.628610259752783,0.710883906515827,0.699004216785671,0.459550118226848
"APD90",0,0.110792770987055,0.782528349380806,0.724975057652307,0.681472781592867,0.690869773986323,0.757304474599786,0.894605867699502,0
"max_dv",0,0.532851037603255,0.66059292481331,0.399029137510214,0.267091091460526,0.259180768372495,0.300556231333188,0.287220605661384,0.0336276869760312
"camax",0,0.256855864828828,0.425552037244208,0.286795722864052,0.299016587608782,0.277235792843657,0.321556634446003,0.33252213506689,0.338567278155449
"carest",0,0.271575564227252,0.392672380541384,0.261340140994777,0.256990924260169,0.300186073347874,0.284718630271667,0.186889232337224,0.0727213125737413
"CaTD50",0,0.0754418594017246,0.35663807670069,0.249125579324012,0.327966240463962,0.374660886032737,0.344037548167186,0.279325964965271,0.356318147386464
"CaTD90",0,0.505244068931927,0.517066463479531,0.557122857730097,0.641229751039248,0.777198903798519,0.884806295553962,0.7449128236754,1
