"Feature","1","2","3","4","5","6","7","8","9"
"qNet",1,1,1,1,1,1,1,0.944877762586235,0.379437047487733
"dvdtmax",0,0.404299574841237,1,1,1,1,1,1,0.369403141393629
"vmax",0,0.0581854139472364,0.61931257250546,0.801186655293459,0.68153934752391,0.752282972948871,0.573164413414885,0.534327212987127,0.20179607000752
"vrest",0,0.780631194990795,1,1,1,1,0.966504321714757,0.249552240772198,0
"APD50",0,1,1,1,1,1,1,1,0.459550118226848
"APD90",0,0.110792770987055,1,1,1,1,1,1,0
"max_dv",0,1,1,1,1,1,0.961806478208586,0.955905746215449,0.0336276869760312
"camax",0,0.256855864828828,1,1,1,1,1,0.936746102167036,0.338567278155449
"carest",0,0.580795686847646,0.996696998157225,0.823303528643909,0.864045598825845,0.988748083203579,1,1,0.0727213125737413
"CaTD50",0,0.0754418594017246,1,0.688568423645876,0.853290417614282,0.927968890042784,0.968492960471961,0.825561835142655,0.356318147386464
"CaTD90",0,1,1,1,1,1,1,1,1
