"Feature","1","2","3","4","5","6","7","8","9"
"qNet",1,1,0.401489161787593,0.250510793347376,0.291462880478732,0.313642686026879,0.345116018979645,0.331407046392303,0.379437047487733
"dvdtmax",0,0.404299574841237,0.0567483583058289,0.0072355586090806,0.0195897189545502,0.00968258552011968,0.00226098308625174,0.015363068815504,0.369403141393629
"vmax",0,0.0581854139472364,0.0827991887022543,5.48388337457063e-06,6.3271806743208e-05,0.00252044556019497,0.000946538840328003,0.016787050832009,0.20179607000752
"vrest",0,0.0167428343461328,0.0713137515430931,0.0288062960392331,0.00202093922536577,0.017483673769614,0.046453197306783,0.143355662950117,0
"APD50",0,0.101556251794631,0.131863088824881,0.00418314287996174,0.00445388868644067,0.0203329006118911,0.0352438554367569,0.00433772192077027,0.459550118226848
"APD90",0,0.110792770987055,0.138500605022031,0.0738855885235173,0.0597619006052939,0.0877015721218998,0.156402984347385,0.570087604285425,0
"max_dv",0,0.0657020752065103,0.108964527501611,0.00044188150685933,0.00449455087377877,0.00174496871739732,0.00398453383299753,0.0781076943969373,0.0336276869760312
"camax",0,0.256855864828828,0.199027092971189,0.0190379788308732,0.00422780741075808,0.00275909435731126,0.00753678754219922,0.0882502579521064,0.338567278155449
"carest",0,0.0904079685108544,0.0402958080537209,0.00156809646609851,0.00366335302125835,0.00293287897604617,0.00820724628831485,0.015942511000413,0.0727213125737413
"CaTD50",0,0.0754418594017246,0.0447878450999514,0.000973501288620506,0.011941196972863,0.000840682345487617,0.0374259035451113,0.00712841883425663,0.356318147386464
"CaTD90",0,0.0104881378638538,0.123337052046873,0.00199833857317539,0.0248334894510757,0.020073192788511,0.157662477554712,0.07197828152466,1
