"Feature","1","2","3","4","5","6","7","8","9","10","11"
"qNet",1,0.352941176470588,0.181818181818182,0.322147651006711,0.544554455445545,0.646739130434783,0.743362831858407,0.779661016949153,0.714285714285714,1,1
"dvdtmax",0,0.235294117647059,0.272727272727273,0.348993288590604,0.485148514851485,0.543478260869565,0.68141592920354,0.779661016949153,0.928571428571429,0.833333333333333,1
"vmax",0,0.235294117647059,0.324675324675325,0.402684563758389,0.46039603960396,0.597826086956522,0.654867256637168,0.694915254237288,0.714285714285714,1,1
"vrest",0,0.117647058823529,0.324675324675325,0.51006711409396,0.628712871287129,0.646739130434783,0.68141592920354,0.711864406779661,0.857142857142857,0.833333333333333,1
"APD50",0,0.176470588235294,0.233766233766234,0.348993288590604,0.435643564356436,0.565217391304348,0.592920353982301,0.677966101694915,0.928571428571429,1,1
"APD90",0,0.235294117647059,0.233766233766234,0.295302013422819,0.405940594059406,0.548913043478261,0.610619469026549,0.694915254237288,1,0.833333333333333,1
"max_dv",0,0.176470588235294,0.207792207792208,0.261744966442953,0.237623762376238,0.271739130434783,0.31858407079646,0.457627118644068,0.5,0.833333333333333,1
"camax",0,0.0588235294117647,0.285714285714286,0.369127516778524,0.430693069306931,0.472826086956522,0.672566371681416,0.76271186440678,0.857142857142857,0.833333333333333,1
"carest",0,0.176470588235294,0.350649350649351,0.442953020134228,0.49009900990099,0.597826086956522,0.699115044247788,0.830508474576271,0.785714285714286,1,1
"CaTD50",0,0.176470588235294,0.324675324675325,0.38255033557047,0.47029702970297,0.576086956521739,0.699115044247788,0.864406779661017,0.928571428571429,1,1
"CaTD90",0,0.0588235294117647,0.25974025974026,0.315436241610738,0.410891089108911,0.532608695652174,0.646017699115044,0.745762711864407,0.785714285714286,0.833333333333333,1
