"Feature","1","2","3","4","5","6","7","8","9","10","11"
"qNet",0.7,0.7166666665,0.709523809428571,0.7333333333125,0.753030303009092,0.758543417302521,0.767857142821429,0.745652173869565,0.7533333333,0.788888889,0.733333333333333
"dvdtmax",0,0.775,0.761904761857143,0.755769230750001,0.760884353724491,0.7663333333,0.769264069246754,0.742753623152174,0.769230769230769,0.7733333334,0.733333333333333
"vmax",0,0.7416666665,0.79600000004,0.763888888866668,0.764516128989248,0.766969696918182,0.776576576554055,0.744715447097561,0.7633333333,0.788888889,0.733333333333333
"vrest",0,0.733333333,0.80533333328,0.795175438552631,0.792650918574802,0.790476190411764,0.790043290038961,0.753174603166666,0.77222222225,0.7933333334,0.733333333333333
"APD50",0,0.744444444333333,0.787037036944444,0.760256410250001,0.771212121147728,0.775961538384616,0.781094527328358,0.742499999975,0.764102564076923,0.788888889,0.733333333333333
"APD90",0,0.7416666665,0.809259259277778,0.785606060568182,0.773170731670732,0.773927392643564,0.781642512028986,0.739837398341463,0.766666666642857,0.7800000002,0.733333333333333
"max_dv",0,0.766666666666667,0.8125000000625,0.772649572615385,0.750694444395834,0.74599999992,0.760185185138889,0.732098765444444,0.795238095285714,0.8066666668,0.733333333333333
"camax",0,0.733333333,0.819696969681818,0.782424242400001,0.765517241310346,0.767049808356322,0.774999999986843,0.741481481444444,0.763888888833333,0.7933333334,0.733333333333333
"carest",0,0.788888889,0.817283950666667,0.773737373727274,0.768350168313132,0.767272727209091,0.775949367101266,0.744217687061225,0.760606060545455,0.788888889,0.733333333333333
"CaTD50",0,0.744444444333333,0.81333333336,0.773684210491229,0.765964912210527,0.76540880495283,0.765400843873418,0.743137254862746,0.771794871769231,0.788888889,0.733333333333333
"CaTD90",0,0.866666667,0.82333333335,0.777304964468086,0.776305220819277,0.771768707397959,0.77260273969863,0.744696969681818,0.760606060545455,0.7866666668,0.733333333333333
