"Feature","1","2","3","4","5","6","7","8","9","10","11"
"qNet",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333333333
"dvdtmax",0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333333333
"vmax",0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333333333
"vrest",0,0.733333333,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333333333
"APD50",0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333333333
"APD90",0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333333333
"max_dv",0,0.733333333,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333,0.766666667,0.733333333333333
"camax",0,0.733333333,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333333333
"carest",0,0.733333333,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333333333
"CaTD50",0,0.733333333,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333,0.7,0.733333333333333
"CaTD90",0,0.866666667,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.733333333333333
