"Feature","1","2","3","4","5","6","7","8","9","10","11"
"qNet",1,1,0.993686693778281,0.882249963485592,0.774015535656894,0.688475216678009,0.639659036482787,0.578800639362161,0.485586788874539,0.405732519623858,0.0481023883807975
"dvdtmax",0,0.324700790246449,0.35100078403166,0.318960334115403,0.302758057668229,0.205884197688687,0.148941823419572,0.14497077752168,0.184710529200993,0.218725539109478,0.237003467391679
"vmax",0,0.781013802362113,0.740024075372193,0.575221808291425,0.321782006663463,0.191713332005254,0.108696465378208,0.0871052085910914,0.149904236750553,0.0623160366292983,0.00400405150077568
"vrest",0,0.693005439643988,0.831961833541542,0.856769566915084,0.840218433160277,0.717372291779947,0.711456097013962,0.579876144922117,0.426280655020495,0.472641150662908,0.562268812994647
"APD50",0,0.715547675861103,0.60975766933144,0.598729360613729,0.618512907292838,0.720726477673298,0.71381239585641,0.589165967241668,0.475219588537557,0.5134278794459,0.769813081632843
"APD90",0,0.763545533801586,0.640462317358668,0.511438702490078,0.510261775724657,0.528542136922595,0.522268550783119,0.564641395073549,0.771323260934525,0.65218140525312,1
"max_dv",0,0.652094905550096,0.519676221644449,0.279940449761803,0.241791721356237,0.229701459297979,0.229017873344215,0.328965165007943,0.46434850301595,0.48614120107435,0.701380127726673
"camax",0,1,0.536552880991946,0.448088622540586,0.401613870053997,0.347872840074329,0.365463762068161,0.367863254752663,0.383269916764006,0.283978808068192,0.47240740336196
"carest",0,0.807202202491919,0.791562489785039,0.644596312144879,0.551384739951182,0.460659097678717,0.342423503814912,0.313564934886028,0.148769136711225,0.306291564893637,0.0427578718114623
"CaTD50",0,0.737758628337533,0.505182037536634,0.344962560793356,0.301779695086473,0.328297363165692,0.375488530025106,0.357932769820629,0.469921647887224,0.412696255261222,0.5134352399649
"CaTD90",0,0.89731487341863,0.69326745012164,0.686562957472995,0.630191122678515,0.661085005387464,0.657191812234781,0.695142324862436,0.667922151241135,0.828756306880644,0.549532233607134
