"Feature","1","2","3","4","5","6","7","8","9","10","11"
"qNet",1,1,1,1,1,1,1,1,0.852475152075346,1,0.0481023883807975
"dvdtmax",0,0.441535052961833,0.674051242933766,0.735628269604527,0.936220903727295,0.974387910798304,0.882516237899611,0.714297489127612,0.374798003405651,0.314408032540204,0.237003467391679
"vmax",0,1,1,1,1,1,1,0.54278857042541,0.498668488193335,0.0969055970251095,0.00400405150077568
"vrest",0,1,1,1,1,1,1,1,1,0.716426681809629,0.562268812994647
"APD50",0,1,1,1,1,1,1,1,1,0.949677700318304,0.769813081632843
"APD90",0,1,1,1,1,1,1,1,1,1,1
"max_dv",0,1,1,0.779200543758696,0.67620015205423,0.600220933645707,1,0.637796926830263,0.617747550940703,0.69432692010117,0.701380127726673
"camax",0,1,1,1,1,1,1,0.968832886688349,1,0.531355374059164,0.47240740336196
"carest",0,1,1,1,1,1,0.964701871423483,1,0.391975740132242,0.80290437303381,0.0427578718114623
"CaTD50",0,0.791294890121341,1,1,0.811000138940151,0.785564725770078,0.88162887255134,0.916666821987719,0.95076040683708,0.753646361958011,0.5134352399649
"CaTD90",0,0.89731487341863,1,1,1,1,1,1,1,1,0.549532233607134
