"Feature","1","2","3","4","5","6","7","8","9","10","11"
"qNet",1,1,0.911613712895933,0.463394306447112,0.25191865495655,0.212004269956713,0.0360678299016746,0.0316393865565501,0.080894195023893,0.0400309867182983,0.0481023883807975
"dvdtmax",0,0.0824222470053389,0.0130212555467788,0.00111910508061653,0.000114849257462189,0.00127770930065743,0.00163656151969036,0.0011283160716531,0.0309462017266072,0.108688513539691,0.237003467391679
"vmax",0,0.17674483991577,0.100492358124225,0.0345103625851601,0.00588872142574855,0.00358625241546842,0.000474434531535258,0.00151282984099418,0.0192634193014652,0.020750688454481,0.00400405150077568
"vrest",0,0.386010879287977,0.430916112761906,0.0299058490626375,0.0253393701909751,0.00448557946644248,0.0046319225947635,0.0394081005979769,0.177394396948353,0.103444956025247,0.562268812994647
"APD50",0,0.146643027583309,0.0338534309436058,0.00035462803049102,0.00860177480470534,0.00819628211378257,0.0242758576654695,0.0173930815600844,0.0271656352000656,0.00864404624738654,0.769813081632843
"APD90",0,0.0590900788889748,0.087771816860343,0.0210585013322243,0.0253126718909443,0.00179314641482121,0.0248998728130656,0.0222304500082406,0.132147777400069,0.0277649597372505,1
"max_dv",0,0.0132253573791441,0.00497047190396724,0.00586141914041291,0.00467769595191631,0.00303116680136908,0.00496306804817759,0.0217872192271598,0.162858588566288,0.33939276906553,0.701380127726673
"camax",0,1,0.1611889920301,0.00018671864010898,0.0077733027340222,0.00146660273025951,0.003692531775947,0.00165017087417079,0.0146100524216011,0.0785210770785648,0.47240740336196
"carest",0,0.421606607475756,0.237448431843277,0.0199073879415094,0.00979277327634745,0.000564993365143832,0.00179127403468372,0.0143718341889612,0.00080069151153278,0.0255133939497371,0.0427578718114623
"CaTD50",0,0.683241926321231,0.0478346648620118,0.0117951220816795,0.000110690577544174,4.50648684082381e-06,0.00999932981055465,0.000679911067549272,0.0343378005506789,0.15073609286672,0.5134352399649
"CaTD90",0,0.89731487341863,0.165345502655933,0.00788874404547875,0.00540315473491025,0.000705324198543991,0.0029577288120254,0.00387121035357382,0.22955723341543,0.286962304218717,0.549532233607134
